protein,present_n_lines,present_n_plex,plexes_present,plexes_absent,absent_from_any_plex,pct_lines_missing,pass_presence50
AP4M1,13,2,1;2,3;4;5,TRUE,58.1,FALSE
ARVCF,31,5,1;2;3;4;5,,FALSE,0,TRUE
SMAP,31,5,1;2;3;4;5,,FALSE,0,TRUE
RAB27B,24,4,1;2;3;4,5,TRUE,22.6,TRUE
AP3B1,31,5,1;2;3;4;5,,FALSE,0,TRUE
RHOD,24,4,2;3;4;5,1,TRUE,22.6,TRUE
APBB1,6,1,4,1;2;3;5,TRUE,80.6,FALSE
LGALS8,31,5,1;2;3;4;5,,FALSE,0,TRUE
NDUFS8,31,5,1;2;3;4;5,,FALSE,0,TRUE
TNFRSF10A,24,4,1;2;3;4,5,TRUE,22.6,TRUE
NFKBIE,31,5,1;2;3;4;5,,FALSE,0,TRUE
PSMD11,31,5,1;2;3;4;5,,FALSE,0,TRUE
PSMD12,31,5,1;2;3;4;5,,FALSE,0,TRUE
PSMD9,31,5,1;2;3;4;5,,FALSE,0,TRUE
SIRPB1,12,2,2;4,1;3;5,TRUE,61.3,FALSE
ATOX1,31,5,1;2;3;4;5,,FALSE,0,TRUE
MEN1,31,5,1;2;3;4;5,,FALSE,0,TRUE
CBX4,31,5,1;2;3;4;5,,FALSE,0,TRUE
WRB,31,5,1;2;3;4;5,,FALSE,0,TRUE
PGRMC1,31,5,1;2;3;4;5,,FALSE,0,TRUE
SUPT5H,31,5,1;2;3;4;5,,FALSE,0,TRUE
TAF4,31,5,1;2;3;4;5,,FALSE,0,TRUE
DFFA,31,5,1;2;3;4;5,,FALSE,0,TRUE
RFXAP,31,5,1;2;3;4;5,,FALSE,0,TRUE
HIP1,31,5,1;2;3;4;5,,FALSE,0,TRUE
CLIC1,31,5,1;2;3;4;5,,FALSE,0,TRUE
TNFRSF11B,31,5,1;2;3;4;5,,FALSE,0,TRUE
EIF3F,31,5,1;2;3;4;5,,FALSE,0,TRUE
WWP2,25,4,1;2;3;5,4,TRUE,19.4,TRUE
PDHX,31,5,1;2;3;4;5,,FALSE,0,TRUE
SULT1C2,20,3,1;2;5,3;4,TRUE,35.5,TRUE
MATN2,31,5,1;2;3;4;5,,FALSE,0,TRUE
QSOX1,31,5,1;2;3;4;5,,FALSE,0,TRUE
DCTN6,31,5,1;2;3;4;5,,FALSE,0,TRUE
SLC33A1,31,5,1;2;3;4;5,,FALSE,0,TRUE
WASL,31,5,1;2;3;4;5,,FALSE,0,TRUE
PDE2A,13,2,1;2,3;4;5,TRUE,58.1,FALSE
IPO5,31,5,1;2;3;4;5,,FALSE,0,TRUE
POLRMT,31,5,1;2;3;4;5,,FALSE,0,TRUE
EEF2K,31,5,1;2;3;4;5,,FALSE,0,TRUE
SAP18,31,5,1;2;3;4;5,,FALSE,0,TRUE
EML1,31,5,1;2;3;4;5,,FALSE,0,TRUE
IGF2BP3,31,5,1;2;3;4;5,,FALSE,0,TRUE
DNM1L,31,5,1;2;3;4;5,,FALSE,0,TRUE
RTCA,31,5,1;2;3;4;5,,FALSE,0,TRUE
PIK3C2A,31,5,1;2;3;4;5,,FALSE,0,TRUE
IFRD1,19,3,1;2;4,3;5,TRUE,38.7,TRUE
PIK3R2,31,5,1;2;3;4;5,,FALSE,0,TRUE
GOLIM4,31,5,1;2;3;4;5,,FALSE,0,TRUE
MANBA,31,5,1;2;3;4;5,,FALSE,0,TRUE
AGRN,31,5,1;2;3;4;5,,FALSE,0,TRUE
PLOD2,31,5,1;2;3;4;5,,FALSE,0,TRUE
MEIS1,31,5,1;2;3;4;5,,FALSE,0,TRUE
EXOC5,31,5,1;2;3;4;5,,FALSE,0,TRUE
BTN3A3,25,4,1;2;3;5,4,TRUE,19.4,TRUE
HMGN4,31,5,1;2;3;4;5,,FALSE,0,TRUE
NDUFA4,31,5,1;2;3;4;5,,FALSE,0,TRUE
PSMD14,31,5,1;2;3;4;5,,FALSE,0,TRUE
ZNF593,31,5,1;2;3;4;5,,FALSE,0,TRUE
BIN1,31,5,1;2;3;4;5,,FALSE,0,TRUE
KPNA3,31,5,1;2;3;4;5,,FALSE,0,TRUE
STK25,31,5,1;2;3;4;5,,FALSE,0,TRUE
BCL9,31,5,1;2;3;4;5,,FALSE,0,TRUE
LAD1,31,5,1;2;3;4;5,,FALSE,0,TRUE
FAAH,31,5,1;2;3;4;5,,FALSE,0,TRUE
KRIT1,31,5,1;2;3;4;5,,FALSE,0,TRUE
UPK2,13,2,4;5,1;2;3,TRUE,58.1,FALSE
VWA5A,13,2,4;5,1;2;3,TRUE,58.1,FALSE
PES1,31,5,1;2;3;4;5,,FALSE,0,TRUE
EBAG9,31,5,1;2;3;4;5,,FALSE,0,TRUE
SDCBP,31,5,1;2;3;4;5,,FALSE,0,TRUE
PITPNM1,31,5,1;2;3;4;5,,FALSE,0,TRUE
MPHOSPH10,31,5,1;2;3;4;5,,FALSE,0,TRUE
NOP56,31,5,1;2;3;4;5,,FALSE,0,TRUE
DDX3X,31,5,1;2;3;4;5,,FALSE,0,TRUE
RNASET2,31,5,1;2;3;4;5,,FALSE,0,TRUE
PODXL,31,5,1;2;3;4;5,,FALSE,0,TRUE
CYR61,31,5,1;2;3;4;5,,FALSE,0,TRUE
PEX12,18,3,1;2;3,4;5,TRUE,41.9,TRUE
PIR,31,5,1;2;3;4;5,,FALSE,0,TRUE
KPNA4,31,5,1;2;3;4;5,,FALSE,0,TRUE
TRIM38,31,5,1;2;3;4;5,,FALSE,0,TRUE
NFIB,31,5,1;2;3;4;5,,FALSE,0,TRUE
E2F3,20,3,1;4;5,2;3,TRUE,35.5,TRUE
PPP6C,31,5,1;2;3;4;5,,FALSE,0,TRUE
NME4,24,4,1;2;3;4,5,TRUE,22.6,TRUE
CES2,31,5,1;2;3;4;5,,FALSE,0,TRUE
MAN2B1,31,5,1;2;3;4;5,,FALSE,0,TRUE
WNT7A,31,5,1;2;3;4;5,,FALSE,0,TRUE
UBE2C,31,5,1;2;3;4;5,,FALSE,0,TRUE
PDXK,31,5,1;2;3;4;5,,FALSE,0,TRUE
SCD,31,5,1;2;3;4;5,,FALSE,0,TRUE
CLDN4,31,5,1;2;3;4;5,,FALSE,0,TRUE
PLPP3,31,5,1;2;3;4;5,,FALSE,0,TRUE
ARID1A,31,5,1;2;3;4;5,,FALSE,0,TRUE
BHLHE40,19,3,1;2;4,3;5,TRUE,38.7,TRUE
CDK2AP1,31,5,1;2;3;4;5,,FALSE,0,TRUE
SDHD,31,5,1;2;3;4;5,,FALSE,0,TRUE
C2CD2L,25,4,1;3;4;5,2,TRUE,19.4,TRUE
NEMP1,31,5,1;2;3;4;5,,FALSE,0,TRUE
TXNDC9,31,5,1;2;3;4;5,,FALSE,0,TRUE
DPYSL4,25,4,1;3;4;5,2,TRUE,19.4,TRUE
SOCS6,7,1,1,2;3;4;5,TRUE,77.4,FALSE
TRAFD1,31,5,1;2;3;4;5,,FALSE,0,TRUE
COX7A2L,31,5,1;2;3;4;5,,FALSE,0,TRUE
GAPDHS,13,2,4;5,1;2;3,TRUE,58.1,FALSE
NDUFAB1,31,5,1;2;3;4;5,,FALSE,0,TRUE
UBFD1,31,5,1;2;3;4;5,,FALSE,0,TRUE
CIT,31,5,1;2;3;4;5,,FALSE,0,TRUE
COPE,31,5,1;2;3;4;5,,FALSE,0,TRUE
RFXANK,31,5,1;2;3;4;5,,FALSE,0,TRUE
TMSB4Y,6,1,4,1;2;3;5,TRUE,80.6,FALSE
AP3D1,31,5,1;2;3;4;5,,FALSE,0,TRUE
CCS,31,5,1;2;3;4;5,,FALSE,0,TRUE
ABLIM1,31,5,1;2;3;4;5,,FALSE,0,TRUE
DVL2,31,5,1;2;3;4;5,,FALSE,0,TRUE
CHD1,31,5,1;2;3;4;5,,FALSE,0,TRUE
CHD2,31,5,1;2;3;4;5,,FALSE,0,TRUE
GOSR2,31,5,1;2;3;4;5,,FALSE,0,TRUE
TOR1A,31,5,1;2;3;4;5,,FALSE,0,TRUE
TOR1B,31,5,1;2;3;4;5,,FALSE,0,TRUE
STX16,31,5,1;2;3;4;5,,FALSE,0,TRUE
PRRG1,24,4,1;2;3;4,5,TRUE,22.6,TRUE
ADAM10,31,5,1;2;3;4;5,,FALSE,0,TRUE
ABCD4,31,5,1;2;3;4;5,,FALSE,0,TRUE
EI24,31,5,1;2;3;4;5,,FALSE,0,TRUE
TP53I11,31,5,1;2;3;4;5,,FALSE,0,TRUE
PTGES,24,4,1;2;3;4,5,TRUE,22.6,TRUE
KMT2D,31,5,1;2;3;4;5,,FALSE,0,TRUE
APAF1,31,5,1;2;3;4;5,,FALSE,0,TRUE
RIOK3,31,5,1;2;3;4;5,,FALSE,0,TRUE
IMPA2,31,5,1;2;3;4;5,,FALSE,0,TRUE
MAP2K7,31,5,1;2;3;4;5,,FALSE,0,TRUE
ACOT8,31,5,1;2;3;4;5,,FALSE,0,TRUE
CDIPT,31,5,1;2;3;4;5,,FALSE,0,TRUE
PDCD5,31,5,1;2;3;4;5,,FALSE,0,TRUE
PRMT5,31,5,1;2;3;4;5,,FALSE,0,TRUE
SLC9A3R1,31,5,1;2;3;4;5,,FALSE,0,TRUE
TERT,31,5,1;2;3;4;5,,FALSE,0,TRUE
CHEK1,31,5,1;2;3;4;5,,FALSE,0,TRUE
TNFRSF10B,31,5,1;2;3;4;5,,FALSE,0,TRUE
FPGT,13,2,1;2,3;4;5,TRUE,58.1,FALSE
TPP1,31,5,1;2;3;4;5,,FALSE,0,TRUE
TCERG1,31,5,1;2;3;4;5,,FALSE,0,TRUE
NDC80,31,5,1;2;3;4;5,,FALSE,0,TRUE
NRP1,31,5,1;2;3;4;5,,FALSE,0,TRUE
TNPO2,31,5,1;2;3;4;5,,FALSE,0,TRUE
APOL1,31,5,1;2;3;4;5,,FALSE,0,TRUE
TNFRSF10C,25,4,1;3;4;5,2,TRUE,19.4,TRUE
POLR3A,31,5,1;2;3;4;5,,FALSE,0,TRUE
PSMA7,31,5,1;2;3;4;5,,FALSE,0,TRUE
SCAMP3,31,5,1;2;3;4;5,,FALSE,0,TRUE
PHYH,31,5,1;2;3;4;5,,FALSE,0,TRUE
OPLAH,31,5,1;2;3;4;5,,FALSE,0,TRUE
BACH1,25,4,1;2;3;5,4,TRUE,19.4,TRUE
BCKDK,31,5,1;2;3;4;5,,FALSE,0,TRUE
IFIT3,31,5,1;2;3;4;5,,FALSE,0,TRUE
MGST3,31,5,1;2;3;4;5,,FALSE,0,TRUE
GEMIN2,31,5,1;2;3;4;5,,FALSE,0,TRUE
TAX1BP3,31,5,1;2;3;4;5,,FALSE,0,TRUE
GIPC1,31,5,1;2;3;4;5,,FALSE,0,TRUE
LIN7A,26,4,1;2;4;5,3,TRUE,16.1,TRUE
IKBKB,31,5,1;2;3;4;5,,FALSE,0,TRUE
TIMM23,31,5,1;2;3;4;5,,FALSE,0,TRUE
HAT1,31,5,1;2;3;4;5,,FALSE,0,TRUE
UBE2L6,31,5,1;2;3;4;5,,FALSE,0,TRUE
CASK,31,5,1;2;3;4;5,,FALSE,0,TRUE
PLD2,25,4,1;3;4;5,2,TRUE,19.4,TRUE
UQCRQ,31,5,1;2;3;4;5,,FALSE,0,TRUE
MYL12B,0,0,,1;2;3;4;5,TRUE,100,FALSE
UQCR11,31,5,1;2;3;4;5,,FALSE,0,TRUE
HGS,31,5,1;2;3;4;5,,FALSE,0,TRUE
AURKA,31,5,1;2;3;4;5,,FALSE,0,TRUE
RAB29,31,5,1;2;3;4;5,,FALSE,0,TRUE
CLGN,31,5,1;2;3;4;5,,FALSE,0,TRUE
DSCR3,31,5,1;2;3;4;5,,FALSE,0,TRUE
PPP1R12A,31,5,1;2;3;4;5,,FALSE,0,TRUE
SLC27A2,31,5,1;2;3;4;5,,FALSE,0,TRUE
GAK,31,5,1;2;3;4;5,,FALSE,0,TRUE
HNRNPDL,31,5,1;2;3;4;5,,FALSE,0,TRUE
XPO1,31,5,1;2;3;4;5,,FALSE,0,TRUE
BTAF1,31,5,1;2;3;4;5,,FALSE,0,TRUE
ARHGEF10,31,5,1;2;3;4;5,,FALSE,0,TRUE
ZNF609,31,5,1;2;3;4;5,,FALSE,0,TRUE
ZNF646,31,5,1;2;3;4;5,,FALSE,0,TRUE
SPTBN2,31,5,1;2;3;4;5,,FALSE,0,TRUE
SEC16A,31,5,1;2;3;4;5,,FALSE,0,TRUE
PLXNB2,31,5,1;2;3;4;5,,FALSE,0,TRUE
KHNYN,26,4,1;2;4;5,3,TRUE,16.1,TRUE
U2SURP,31,5,1;2;3;4;5,,FALSE,0,TRUE
SETD1A,31,5,1;2;3;4;5,,FALSE,0,TRUE
SYNJ2,31,5,1;2;3;4;5,,FALSE,0,TRUE
SYNM,31,5,1;2;3;4;5,,FALSE,0,TRUE
KIF3B,31,5,1;2;3;4;5,,FALSE,0,TRUE
PFAS,31,5,1;2;3;4;5,,FALSE,0,TRUE
CEP290,31,5,1;2;3;4;5,,FALSE,0,TRUE
ANKRD28,31,5,1;2;3;4;5,,FALSE,0,TRUE
ARHGEF11,31,5,1;2;3;4;5,,FALSE,0,TRUE
ZNF536,20,3,1;4;5,2;3,TRUE,35.5,TRUE
KIAA0391,31,5,1;2;3;4;5,,FALSE,0,TRUE
CHUK,31,5,1;2;3;4;5,,FALSE,0,TRUE
LSM1,31,5,1;2;3;4;5,,FALSE,0,TRUE
FYB1,13,2,1;2,3;4;5,TRUE,58.1,FALSE
NPC1,31,5,1;2;3;4;5,,FALSE,0,TRUE
AGPAT2,31,5,1;2;3;4;5,,FALSE,0,TRUE
DEGS1,31,5,1;2;3;4;5,,FALSE,0,TRUE
SCAMP1,31,5,1;2;3;4;5,,FALSE,0,TRUE
SCAMP2,31,5,1;2;3;4;5,,FALSE,0,TRUE
KPNA5,13,2,4;5,1;2;3,TRUE,58.1,FALSE
ARPC1B,31,5,1;2;3;4;5,,FALSE,0,TRUE
ARPC2,31,5,1;2;3;4;5,,FALSE,0,TRUE
ARPC3,31,5,1;2;3;4;5,,FALSE,0,TRUE
BET1,31,5,1;2;3;4;5,,FALSE,0,TRUE
ZBTB7B,31,5,1;2;3;4;5,,FALSE,0,TRUE
POLR1C,31,5,1;2;3;4;5,,FALSE,0,TRUE
PLSCR1,31,5,1;2;3;4;5,,FALSE,0,TRUE
TRIM24,31,5,1;2;3;4;5,,FALSE,0,TRUE
PGRMC2,31,5,1;2;3;4;5,,FALSE,0,TRUE
CETN3,31,5,1;2;3;4;5,,FALSE,0,TRUE
VILL,18,3,2;3;5,1;4,TRUE,41.9,TRUE
RGL2,31,5,1;2;3;4;5,,FALSE,0,TRUE
PFDN6,31,5,1;2;3;4;5,,FALSE,0,TRUE
WDR46,31,5,1;2;3;4;5,,FALSE,0,TRUE
NKRF,31,5,1;2;3;4;5,,FALSE,0,TRUE
GNPAT,31,5,1;2;3;4;5,,FALSE,0,TRUE
KMO,11,2,2;3,1;4;5,TRUE,64.5,FALSE
LAMA5,31,5,1;2;3;4;5,,FALSE,0,TRUE
ZNF185,31,5,1;2;3;4;5,,FALSE,0,TRUE
CASC3,31,5,1;2;3;4;5,,FALSE,0,TRUE
MRPS12,31,5,1;2;3;4;5,,FALSE,0,TRUE
NDUFA1,25,4,1;3;4;5,2,TRUE,19.4,TRUE
ACOX3,31,5,1;2;3;4;5,,FALSE,0,TRUE
RER1,31,5,1;2;3;4;5,,FALSE,0,TRUE
SURF4,31,5,1;2;3;4;5,,FALSE,0,TRUE
DEFB4A,13,2,1;2,3;4;5,TRUE,58.1,FALSE
MAPK13,24,4,2;3;4;5,1,TRUE,22.6,TRUE
ATXN7,19,3,2;4;5,1;3,TRUE,38.7,TRUE
SPTLC1,31,5,1;2;3;4;5,,FALSE,0,TRUE
SPTLC2,31,5,1;2;3;4;5,,FALSE,0,TRUE
OGT,31,5,1;2;3;4;5,,FALSE,0,TRUE
SIVA1,19,3,1;2;4,3;5,TRUE,38.7,TRUE
PMM2,31,5,1;2;3;4;5,,FALSE,0,TRUE
RAD51B,31,5,1;2;3;4;5,,FALSE,0,TRUE
POLR3G,14,2,1;5,2;3;4,TRUE,54.8,FALSE
TM9SF1,31,5,1;2;3;4;5,,FALSE,0,TRUE
INPP4B,31,5,1;2;3;4;5,,FALSE,0,TRUE
MID1,31,5,1;2;3;4;5,,FALSE,0,TRUE
HMGB3,31,5,1;2;3;4;5,,FALSE,0,TRUE
PPM1G,31,5,1;2;3;4;5,,FALSE,0,TRUE
INPPL1,31,5,1;2;3;4;5,,FALSE,0,TRUE
EIF3D,31,5,1;2;3;4;5,,FALSE,0,TRUE
EIF3H,31,5,1;2;3;4;5,,FALSE,0,TRUE
SLC16A4,13,2,1;2,3;4;5,TRUE,58.1,FALSE
SLC16A5,11,2,2;3,1;4;5,TRUE,64.5,FALSE
HDAC3,31,5,1;2;3;4;5,,FALSE,0,TRUE
NVL,31,5,1;2;3;4;5,,FALSE,0,TRUE
BCAT2,31,5,1;2;3;4;5,,FALSE,0,TRUE
BIRC5,31,5,1;2;3;4;5,,FALSE,0,TRUE
TMPRSS2,13,2,4;5,1;2;3,TRUE,58.1,FALSE
IPO8,31,5,1;2;3;4;5,,FALSE,0,TRUE
STX7,31,5,1;2;3;4;5,,FALSE,0,TRUE
TOX3,0,0,,1;2;3;4;5,TRUE,100,FALSE
TNRC18,26,4,1;2;4;5,3,TRUE,16.1,TRUE
SLC16A3,31,5,1;2;3;4;5,,FALSE,0,TRUE
ABCC3,24,4,1;2;3;4,5,TRUE,22.6,TRUE
ABCC4,31,5,1;2;3;4;5,,FALSE,0,TRUE
ABCC5,31,5,1;2;3;4;5,,FALSE,0,TRUE
CD3EAP,31,5,1;2;3;4;5,,FALSE,0,TRUE
TLR3,31,5,1;2;3;4;5,,FALSE,0,TRUE
P4HA2,31,5,1;2;3;4;5,,FALSE,0,TRUE
MAGEB2,25,4,1;3;4;5,2,TRUE,19.4,TRUE
CAPN5,31,5,1;2;3;4;5,,FALSE,0,TRUE
GYG2,7,1,5,1;2;3;4,TRUE,77.4,FALSE
YKT6,31,5,1;2;3;4;5,,FALSE,0,TRUE
NUPL2,31,5,1;2;3;4;5,,FALSE,0,TRUE
ARPC5,31,5,1;2;3;4;5,,FALSE,0,TRUE
POLR2D,31,5,1;2;3;4;5,,FALSE,0,TRUE
DDX3Y,7,1,1,2;3;4;5,TRUE,77.4,FALSE
MAFG,31,5,1;2;3;4;5,,FALSE,0,TRUE
PDPK1,31,5,1;2;3;4;5,,FALSE,0,TRUE
TAPBP,31,5,1;2;3;4;5,,FALSE,0,TRUE
FABP7,7,1,1,2;3;4;5,TRUE,77.4,FALSE
RNF113A,31,5,1;2;3;4;5,,FALSE,0,TRUE
KDM6A,31,5,1;2;3;4;5,,FALSE,0,TRUE
CLDN3,31,5,1;2;3;4;5,,FALSE,0,TRUE
KCNN4,11,2,2;3,1;4;5,TRUE,64.5,FALSE
DHX15,31,5,1;2;3;4;5,,FALSE,0,TRUE
RNMT,31,5,1;2;3;4;5,,FALSE,0,TRUE
ZZEF1,31,5,1;2;3;4;5,,FALSE,0,TRUE
ASAP2,31,5,1;2;3;4;5,,FALSE,0,TRUE
TTI1,31,5,1;2;3;4;5,,FALSE,0,TRUE
PLXNB1,31,5,1;2;3;4;5,,FALSE,0,TRUE
RRP8,31,5,1;2;3;4;5,,FALSE,0,TRUE
SIPA1L1,31,5,1;2;3;4;5,,FALSE,0,TRUE
CYB5B,31,5,1;2;3;4;5,,FALSE,0,TRUE
PRPF4,31,5,1;2;3;4;5,,FALSE,0,TRUE
PHGDH,31,5,1;2;3;4;5,,FALSE,0,TRUE
NDUFS4,31,5,1;2;3;4;5,,FALSE,0,TRUE
PHF1,31,5,1;2;3;4;5,,FALSE,0,TRUE
GPR39,13,2,1;2,3;4;5,TRUE,58.1,FALSE
DYNC1LI2,31,5,1;2;3;4;5,,FALSE,0,TRUE
KLK10,18,3,2;3;5,1;4,TRUE,41.9,TRUE
PSMD3,31,5,1;2;3;4;5,,FALSE,0,TRUE
RBFOX2,31,5,1;2;3;4;5,,FALSE,0,TRUE
PAPSS1,31,5,1;2;3;4;5,,FALSE,0,TRUE
ZNHIT1,31,5,1;2;3;4;5,,FALSE,0,TRUE
ZW10,31,5,1;2;3;4;5,,FALSE,0,TRUE
PRODH,31,5,1;2;3;4;5,,FALSE,0,TRUE
SPINT1,31,5,1;2;3;4;5,,FALSE,0,TRUE
SART1,31,5,1;2;3;4;5,,FALSE,0,TRUE
SPINT2,31,5,1;2;3;4;5,,FALSE,0,TRUE
GPAA1,31,5,1;2;3;4;5,,FALSE,0,TRUE
DAPK3,31,5,1;2;3;4;5,,FALSE,0,TRUE
TGFB1I1,25,4,1;3;4;5,2,TRUE,19.4,TRUE
SRGAP3,24,4,1;2;3;4,5,TRUE,22.6,TRUE
ZNF264,24,4,2;3;4;5,1,TRUE,22.6,TRUE
AP5Z1,31,5,1;2;3;4;5,,FALSE,0,TRUE
HSPA12A,31,5,1;2;3;4;5,,FALSE,0,TRUE
ADCY6,25,4,1;2;3;5,4,TRUE,19.4,TRUE
