field	value	source_path	evidence_status	notes
retained_vcf_identity_check	23/23 cluster annotated VCFs (uncompressed stream) SHA-256 == vcf_sha256 in output/wes_input_manifest.csv	scratchpad vcf_hash_check.tsv; model_status.tsv	found	the archived workstation VCFs used for the audit are byte-identical to the cluster outputs
earlier_superseded_attempts	scratch runs Oct-3..Oct-24 2025 (outdirs wes_new, wes_sarek_results_20251007, wes_sarek_results_20251022 [3-sample scratch copy], wes_sarek_results_20251024 [1-sample cnvkit test]); tools variously mutect2,strelka,cnvkit,controlfreec,vep; samplesheet_half/one/two	wes/scratch_archive_extract/.nextflow.log*, wes_new/pipeline_info, wes_sarek_results_20251024/pipeline_info, params_2025-10-07_10-11-01.json	found (partial; from truncated tar)	superseded; do not mix with the project run of the same outdir name
input_samplesheet	/scratch/asmab/ovcan/samplesheet.csv: columns patient,sample,lane,bam,sex,status; 23 rows; patient==sample; sex=XX; status=1 (tumour-only); bam=/project/def-dcook/active/ovcan_gq/ammmasson_OvCAN_WES_bioinformatics_analysis_R004741/bam/<sample>.bam	wes/scratch_archive_extract/samplesheet.csv	found	Sarek started from provider BAMs (step mapping): BAM->FASTQ (samtools collate/fastq), fastp, bwa mem, MarkDuplicates, BQSR. No FASTQ files were delivered or exist in searched roots.
lane_assignment	lane column = PU tag of provider BAM read group (get_lane_info.sh); lanes: OV1369_R2_P66 6, OV2085_P64 7, OV2295_P61 5, OV2295_R2_P70 5, OV3133_R2_P58 6, OV3133_R_P71 5, OV3291_P46 7, OV3331_P54 6, OV90_P63 8, TOV112D_P83 7, TOV1369_P65 6, TOV21G_P59 7, TOV2295_R_P57 5, TOV2414_P65 7, TOV2835EP_P64 6, TOV2881EP_P64 7, TOV2929D_P57 6, TOV3121D_P68 7, TOV3121EP_P68 7, TOV3133D_P66 5, TOV3133G_P65 5, TOV3392D_P69 7, TOV81D_P23 6	wes/scratch_archive_extract/get_lane_info.sh; samplesheet.csv; reports/fastp file names	found	flowcell IDs, run dates and instrument are NOT in cluster records; see provider spreadsheets (not parsed here)
read_group_format	@RG ID:<sample>_<lane>(-<splitsuffix>) PU:<lane> SM:<sample>_<sample> LB:<sample> DS:<fasta path> PL:ILLUMINA; 404 read groups per CRAM after --split_fastq 50000000	wes/sarek_3.5.1_run/task_evidence/oct23_BWAMEM1_MEM_OV2085_P64.*/.command.sh; samtools view -H on recal CRAMs (2026-09-05)	found
aligner	bwa mem 0.7.18-r1243-dirty, args -K 100000000 -Y -B 3 -t 24; samtools 1.20 sort	wes/sarek_3.5.1_run/task_evidence/oct23_BWAMEM1_MEM_OV2085_P64.*/	found	Sarek default aligner bwa-mem; index Homo_sapiens_assembly38.fasta.64.* (BWAIndex)
read_preprocessing	fastp 0.23.4 --detect_adapter_for_pe --disable_adapter_trimming --split_by_lines 200000000 --length_required 15 (trim_fastq false)	wes/sarek_3.5.1_run/reports/fastp/*/*.fastp.json (command field); pipeline_info/params_*.json	found
duplicate_marking	GATK 4.5.0.0 MarkDuplicates -REMOVE_DUPLICATES false -VALIDATION_STRINGENCY LENIENT; output CRAM via samtools view -Ch	wes/sarek_3.5.1_run/task_evidence/oct23_GATK4_MARKDUPLICATES_*/.command.sh	found
base_recalibration	GATK 4.5.0.0 BaseRecalibrator --known-sites dbsnp_146.hg38.vcf.gz, Mills_and_1000G_gold_standard.indels.hg38.vcf.gz, Homo_sapiens_assembly38.known_indels.vcf.gz; per-interval (405 shards) then GatherBQSRReports; ApplyBQSR per interval; samtools merge of shard CRAMs	wes/sarek_3.5.1_run/task_evidence/oct23_GATK4_BASERECALIBRATOR_*, oct23_GATK4_APPLYBQSR_*, oct23_MERGE_CRAM_*; preprocessing/recal_table/	found	CONSEQUENCE: recal CRAMs contain only reads overlapping the interval shards (e.g. OV2085_P64 77.4 M of 113.5 M reads); md CRAMs are genome-wide
variant_caller	GATK 4.5.0.0 Mutect2 tumour-only: --panel-of-normals 1000g_pon.hg38.vcf.gz --germline-resource af-only-gnomad.hg38.vcf.gz --f1r2-tar-gz, per interval shard, then MergeVCFs/MergeMutectStats	wes/sarek_3.5.1_run/task_evidence/oct23_MUTECT2_*/.command.sh; variant_calling/mutect2/*/*.mutect2.vcf.gz headers (##GATKCommandLine)	found	1000g_pon.hg38.vcf.gz is the Mutect2 variant panel of normals (GATK bundle), distinct from the 5 public CNV-reference exomes
variant_filtering	GATK 4.5.0.0 GetPileupSummaries (--variant af-only-gnomad.hg38.vcf.gz) -> CalculateContamination (-tumor-segmentation) ; LearnReadOrientationModel -> FilterMutectCalls --contamination-table --tumor-segmentation --orientation-bias-artifact-priors; FilterMutectCalls defaults: --threshold-strategy OPTIMAL_F_SCORE --f-score-beta 1.0 --false-discovery-rate 0.05 --initial-threshold 0.1 --max-events-in-region 2 --max-alt-allele-count 1 --min-median-base-quality 20 (full list in VCF header)	wes/sarek_3.5.1_run/task_evidence/oct23_GETPILEUPSUMMARIES_*, oct23_CALCULATECONTAMINATION_*, oct23_LEARNREADORIENTATIONMODEL_*, oct23_FILTERMUTECTCALLS_*; variant_calling/mutect2/*/*.filtered.vcf.gz headers	found	per-sample contamination.table, segmentation.table, artifactprior.tar.gz, pileups.table, filteringStats.tsv, vcf.gz.stats all retained and copied
annotation	Ensembl VEP 113.0: --vcf --everything --filter_common --per_gene --total_length --offline --cache --cache_version 113 --assembly GRCh38 --species homo_sapiens --fork 6 --compress_output bgzip; cache 113_GRCh38 staged via nf-amazon (params vep_cache s3://annotation-cache/vep_cache/)	wes/sarek_3.5.1_run/task_evidence/oct23_ENSEMBLVEP_VEP_TOV3121D_P68.*/.command.sh; annotation/mutect2/*/*.ann.vcf.gz header (##VEP)	found	VEP header: ensembl=113, assembly GRCh38.p14, dbSNP 156, ClinVar 202404, COSMIC 99, gnomADe/gnomADg v4.1, GENCODE 47, polyphen 2.2.3, sift 6.2.1. --filter_common removes variants with population AF > 0.01 at annotation time.
genome_build	GATK.GRCh38 (iGenomes GATK bundle), Homo_sapiens_assembly38.fasta; dict @SQ chr1 M5:6aef897c3d6ff0c78aff06ac189178dd LN:248956422; fasta.fai sha256 edefd93c489dc1baefad312f40388089f8db5cf6dcc3ba0955669ead274e8b6b; dict sha256 07523b4a0afd... (see MANIFEST)	wes/scratch_archive_extract/references/Homo_sapiens/GATK/GRCh38/Sequence/WholeGenomeFasta/{Homo_sapiens_assembly38.dict,.fasta.fai}	found	FASTA bytes not extracted (in truncated tar, ~3.25 GB WholeGenomeFasta dir); no checksum of the FASTA in searched roots
reference_resources_location	/scratch/asmab/ovcan/references/Homo_sapiens/GATK/GRCh38/ (Annotation/GATKBundle 34 files 16.6 GB; GermlineResource; intervals; Sequence/{WholeGenomeFasta,BWAIndex,BWAmem2Index,dragmap,Chromosomes})	wes/inventory/ovcan_tar_gz_index_2026-09-05.txt	found (inside truncated tar; live path permission denied)	GATKBundle includes 1000g_pon.hg38.vcf.gz (17,273,497 B), af-only-gnomad.hg38.vcf.gz (3,184,275,189 B), dbsnp_146.hg38.vcf.gz (3,411,143,311 B), Mills_and_1000G_gold_standard.indels.hg38.vcf.gz (20,685,880 B)
capture_kit	Roche NimbleGen SeqCap EZ Exome v3 (hg19 design): SeqCap_EZ_Exome_v3.targets.bed 242,232 intervals / 63,564,965 bp / 24 contigs; SeqCap_EZ_Exome_v3.probes.bed 368,146 probes	wes/mcgill_r004741_provenance/SeqCap_EZ_Exome_v3.{targets,probes}.bed (from provider delivery); copy of targets.bed also in scratch root (wes/scratch_archive_extract/SeqCap_EZ_Exome_v3.targets.bed, sha256 4c003431f839...)	found	kit identity established from the design files shipped with the McGill delivery and used to build the calling intervals; kit revision/lot and library prep protocol not in cluster records
interval_derivation	SeqCap v3 targets (hg19) -> UCSC liftOver (binary in scratch root) -> hglft_genome_2576bc_8f0.bed (242,421 intervals; 17 intervals 'Deleted in new' per hglft_genome_ignored.txt; includes 208 intervals on 14 alt/random/Un contigs) -> sort -> intervals_sorted.bed (sha256 a6dea4882ab9..., 242,421 intervals, 63,709,951 bp summed, 63,514,049 bp merged) -> Sarek CREATE_INTERVALS_BED 405 shards (no padding parameter set)	wes/scratch_archive_extract/{hglft_genome_2576bc_8f0.bed,hglft_genome_ignored.txt,intervals_sorted.bed,liftOver}; wes/sarek_3.5.1_run/task_evidence/oct23_CREATE_INTERVALS_BED_*, oct23_TABIX_INTERVAL_COMBINED_*/intervals_sorted.bed.gz	found	Picard-format hglft_genome_2576bc_8f0.interval_list (3,367 @SQ header lines, 242,421 intervals) was used only in the earliest scratch attempts; liftOver chain file and version not recorded
cnvkit_target_bins	intervals_sorted.target.bed 290,475 bins (sha256 2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d) = CNVkit autobin split of intervals_sorted.bed; intervals.antitarget.bed 42,709 bins (sha256 2e5e6be66382...); Sarek-internal cnvkit used unsplit 242,421 bins (cnvkit.reference.target-tmp.bed)	wes/scratch_archive_extract/{intervals_sorted.target.bed,intervals.antitarget.bed}; wes/cnvkit_0.9.10_manual/*_new/intervals_sorted.target.bed	found	byte-identical to output/wes_cnvkit_target_intervals.bed in the repository
cnv_pipeline	manual CNVkit 0.9.10 (apptainer /scratch/asmab/nf-core/cnvkit-0.9.10--pyhdfd78af_0.img; digest not recorded): cnvkit.py batch <work>/<sample>.recal.bam --drop-low-coverage -n normal_samples/all_bams/*.bam -f Homo_sapiens_assembly38.fasta -t intervals_sorted.bed -a intervals.antitarget.bed ... (full 23 command lines in commands.txt); run via run_cnvkit.sh Slurm array (mem-per-cpu 120G x4, 6h59); outputs dated 2025-11-14..2025-12-03	wes/cnvkit_0.9.10_manual/{commands.txt,commands1.txt,command_diagram.txt,run_cnvkit.sh}; wes/cnvkit_0.9.10_manual/*_new/	found	commands.txt sha256 3d47d39646843ea4f... identical to repo docs/cluster/evidence/cnvkit_commands.txt; commands1.txt holds the 6 corrected re-run lines (OV1369_R2_P66, TOV81D_P23, TOV2414_P65, TOV2295_R_P57, TOV2929D_P57, TOV2881EP_P64). Per-run Slurm logs of the manual CNVkit jobs were not found in searched roots.
cnv_input_alignments	<sample>.recal.bam in work/<hash>/ created by the Oct-24 Sarek CNVKIT_BATCH tasks (samtools view -T FASTA from the Oct-24 recal CRAM), 23/23 present, 6.8-8.6 GB each	wes/sarek_3.5.1_run/task_evidence/oct24_CNVKIT_BATCH_*/_dir_listing.txt; model_status.tsv	found	relative ../work paths resolve against /project/6090753/active/ovcan_gq_analysis/cnvkit (cwd of run_cnvkit.sh)
cnv_reference_normals	SRR4039087, SRR4039088, SRR4039089, SRR4039096, SRR4039097 (PRJNA339046; download_normal_keratinocytes.sh cites SRX2030211): fasterq-dump --split-files; bwa-mem2 mem -t 4 vs Homo_sapiens_assembly38 BWAmem2Index; samtools view/sort/index; Slurm arrays 4401780 (convert), 4439216 (sort), 4459055 (index), 2025-11-13/14	wes/cnvkit_0.9.10_manual/normal_samples/{download_normal_keratinocytes.sh,run_bwa.sh,bwa-mem2.txt,convert_bam.txt,sort_bam.txt,index_bam.txt,slurm-*.out}	found	pooled reference.cnn sha256 848c05227426... identical in all 23 model dirs; no -y/--male-reference flag and no --segment-method flag in commands.txt (CNVkit defaults: reference sex inferred, CBS segmentation); bwa-mem2 version and SRA toolkit version not recorded
cnv_reference_exome_depth	length-weighted mean target depth from targetcoverage.cnn: SRR4039087 95.47x, SRR4039088 83.75x, SRR4039089 75.85x, SRR4039096 92.40x, SRR4039097 95.72x (tumours 78.6-98.7x by the same measure)	qc_metrics.tsv	derived 2026-09-05	supports same-design capture of the public normals (targets are covered at tumour-like depth); no alignment QC exists for the normals
qc_source	MultiQC report 2025-10-23 23:48 (angry_allen) with fastp, FastQC, GATK MarkDuplicates, samtools stats (md and recal CRAM), mosdepth --by intervals_sorted.bed (md and recal), bcftools stats, vcftools, VEP summaries; underlying per-sample files copied under wes/sarek_3.5.1_run/reports/ (mosdepth per-base.bed.gz excluded, 17 GB)	wes/sarek_3.5.1_run/multiqc/multiqc_data/*.txt; reports/	found	qc_metrics.tsv holds 1,469 values for 23 models; normals have only CNVkit coverage
provider_delivery	/project/6090753/active/ovcan_gq/ammmasson_OvCAN_WES_bioinformatics_analysis_R004741 (owner dcook; files dated 2025-09-23 = copy date): bam/ 23 BAMs + 32 .bai (9 .bai without BAM); USB/ = McGill GenPipes DNAseq GRCh37 results (allSamples.hc.vqsr.vcf.gz split per sample; CNVkit germline CNA; PCGR 0.9.2 reports by pmarquis, Apr 2022, 25/32 samples); cell_line/ BIN67+CSCOE (SureSelect Human All Exon V7); input/,cna/,PCGR/ 11 VOA/OV866-2 lines; Public_Data/ CL-* lines; spreadsheets WES 2014/2017/2018 Mes-Masson.xlsx	wes/mcgill_r004741_provenance/; additional_wes_models.tsv	found	spreadsheets and provider BAM headers were NOT read in this session (tool permission blocks); an 'sftp' file (124 B) that may hold credentials sits in this group-readable directory and was not read or copied
scratch_archive	/project/6090753/active/ovcan_gq_analysis/ovcan.tar.gz: plain (uncompressed) tar of /scratch/asmab/ovcan, 315,538,769,920 B, created 2026-05-06; TRUNCATED (tar: Unexpected EOF after 5,663 members; last member a merged FASTQ in work/01/5ffbd9...)	wes/inventory/ovcan_tar_gz_index_2026-09-05.txt	found (incomplete)	contains: wes_new/ (superseded Sarek outdir, 46 CRAMs 193 GB), references/ 63 GB, wes_sarek_results_20251022 (3-sample scratch copy, 26.7 GB), wes_sarek_results_20251024 (10.5 GB), .nextflow logs/cache, small design/interval files; NO raw FASTQs
