task_id	cell_line	input_role	status	verified_path	symlink_target	bytes	sha256_if_small	sample_run_id	genome_reference	passage	software_version	source_command_or_log	evidence_notes
MEX01	OV2085	Oct-24 recalibrated CRAM in work/ = exact manual-CNVkit input (proposed MEX05/MEX06 alignment)	verified	/project/6090753/active/ovcan_gq_analysis/work/33/922deb9286570f183f220b24cef0b7/OV2085_P64.recal.cram		4409769450		sarek 3.5.1 angry_kilby 2025-10-24 (Slurm 3377445)	GRCh38 (GATK Homo_sapiens_assembly38)	P64	GATK 4.5.0.0	/project/6090753/active/ovcan_human/wes/sarek_3.5.1_run/task_evidence/oct24_CNVKIT_BATCH_OV2085_P64.*	interval-restricted like all recal CRAMs; index .crai alongside in work dir; mtime_utc=2025-10-24T22:57Z
MEX01	OV2085	manual-CNVkit input BAM (samtools view of the Oct-24 recal CRAM)	verified	/project/6090753/active/ovcan_gq_analysis/work/9d/5053b19362a37673e25e6137ef2449/OV2085_P64.recal.bam		6765777072		Oct-24 CNVKIT_BATCH task	GRCh38 (GATK Homo_sapiens_assembly38)	P64	samtools 1.21 (Sarek cnvkit container)		historical hint ../work/9d/5053b19362a37673e25e6137ef2449/OV2085_P64.recal.bam resolves relative to /project/6090753/active/ovcan_gq_analysis/cnvkit; mtime_utc=2025-10-24T23:05Z
MEX01	OV2085	provider GRCh37 BAM (Sarek samplesheet input; deposition candidate)	verified	/project/6090753/active/ovcan_gq/ammmasson_OvCAN_WES_bioinformatics_analysis_R004741/bam/OV2085_P64.bam		6926161656		McGill delivery	GRCh37 (McGill GenPipes)	P64			no provider checksum; header not read in this session (tool block); mtime_utc=2025-09-23T14:37Z
MEX01	OV2085	retained annotated Mutect2 VCF (audited calls)	verified	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/annotation/mutect2/OV2085_P64/OV2085_P64.mutect2.filtered_VEP.ann.vcf.gz		5138444		sarek 3.5.1 angry_allen 2025-10-23 (Slurm 3273686)	GRCh38 (GATK Homo_sapiens_assembly38)	P64	Mutect2/FilterMutectCalls 4.5.0.0; VEP 113		--genotype-germline-sites false --genotype-pon-sites false --interval-padding 0: NOT eligible as unbiased SNP input (MEX05); mtime_utc=2025-10-24T03:47Z
MEX06	OV2085	target-only CNR reconstructed on cluster from verified source CNR	verified	/project/6090753/active/ovcan_human/wes/molecular_extension_2026-09-06/inputs/target_only_cnr/OV2085_P64.targetonly.cnr		15154162	a7c48bea5703ffa494a9fef6783ab4becdc3548326940009772a76c34f85f8dd	manual CNVkit 0.9.10 (2025-11/12) + antitarget-row removal 2026-09-06	GRCh38 (GATK Homo_sapiens_assembly38)	P64	CNVkit 0.9.10	/project/6090753/active/ovcan_gq_analysis/cnvkit/OV2085_P64_new/OV2085_P64.cnr (sha256 f77f13fbf2ee...)	source CNR == repo source_cnr_sha256: True; reconstructed == repo target_only_cnr_sha256: True; 204706 target rows, 40923 antitarget rows dropped; mtime_utc=2026-09-06T17:44Z
MEX06	OV2085	corrected target-only CNS (repository, script 29)	verified	repo:output/wes_cnv_target_only/OV2085.cns			5aa4bcc1c6e51feafc4fe8c04d5aa95461b6e40d3296d8bb66079d3bb305b6d4		GRCh38 (GATK Homo_sapiens_assembly38)		CNVkit 0.9.10 segment CBS via script 29		present in clone at commit dca9bf9
MEX01	OV2295	duplicate-marked genome-wide CRAM (MSI / read review input)	verified	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/markduplicates/OV2295_P61/OV2295_P61.md.cram		3077879757		sarek 3.5.1 angry_allen 2025-10-23 (Slurm 3273686)	GRCh38 (GATK Homo_sapiens_assembly38)	P61	GATK 4.5.0.0 MarkDuplicates; bwa 0.7.18; samtools 1.20/1.21	/project/6090753/active/ovcan_human/wes/sarek_3.5.1_run/task_evidence/oct23_GATK4_MARKDUPLICATES_*	lane PU 5; RG SM OV2295_P61_OV2295_P61; all reads incl. off-target; not BQSR'd; index .crai present; mtime_utc=2025-10-29T15:10Z
MEX01	OV2295	published recalibrated CRAM (interval-restricted; mixed Oct-24/Oct-31 re-executions)	verified	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/recalibrated/OV2295_P61/OV2295_P61.recal.cram		4648860250		sarek 3.5.1 Oct-24 or Oct-31 launch (see mtime)	GRCh38 (GATK Homo_sapiens_assembly38)	P61	GATK 4.5.0.0 ApplyBQSR per shard		reads overlapping the 405 calling shards only; samtools quickcheck OK 2026-09-05; VCF headers name this filename but bytes are re-executions; mtime_utc=2025-10-31T17:33Z
MEX01	OV2295	Oct-24 recalibrated CRAM in work/ = exact manual-CNVkit input (proposed MEX05/MEX06 alignment)	verified	/project/6090753/active/ovcan_gq_analysis/work/5e/abe220274b68448e8782d058885e77/OV2295_P61.recal.cram		4648836590		sarek 3.5.1 angry_kilby 2025-10-24 (Slurm 3377445)	GRCh38 (GATK Homo_sapiens_assembly38)	P61	GATK 4.5.0.0	/project/6090753/active/ovcan_human/wes/sarek_3.5.1_run/task_evidence/oct24_CNVKIT_BATCH_OV2295_P61.*	interval-restricted like all recal CRAMs; index .crai alongside in work dir; mtime_utc=2025-10-24T22:57Z
MEX01	OV2295	manual-CNVkit input BAM (samtools view of the Oct-24 recal CRAM)	verified	/project/6090753/active/ovcan_gq_analysis/work/82/d4b4833ef8e3c2d4e18fb540d9357e/OV2295_P61.recal.bam		7141426364		Oct-24 CNVKIT_BATCH task	GRCh38 (GATK Homo_sapiens_assembly38)	P61	samtools 1.21 (Sarek cnvkit container)		historical hint ../work/82/d4b4833ef8e3c2d4e18fb540d9357e/OV2295_P61.recal.bam resolves relative to /project/6090753/active/ovcan_gq_analysis/cnvkit; mtime_utc=2025-10-24T23:05Z
MEX01	OV2295	provider GRCh37 BAM (Sarek samplesheet input; deposition candidate)	verified	/project/6090753/active/ovcan_gq/ammmasson_OvCAN_WES_bioinformatics_analysis_R004741/bam/OV2295_P61.bam		6424564955		McGill delivery	GRCh37 (McGill GenPipes)	P61			no provider checksum; header not read in this session (tool block); mtime_utc=2025-09-23T14:38Z
MEX01	OV2295	retained annotated Mutect2 VCF (audited calls)	verified	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/annotation/mutect2/OV2295_P61/OV2295_P61.mutect2.filtered_VEP.ann.vcf.gz		5334830		sarek 3.5.1 angry_allen 2025-10-23 (Slurm 3273686)	GRCh38 (GATK Homo_sapiens_assembly38)	P61	Mutect2/FilterMutectCalls 4.5.0.0; VEP 113		--genotype-germline-sites false --genotype-pon-sites false --interval-padding 0: NOT eligible as unbiased SNP input (MEX05); mtime_utc=2025-10-24T03:47Z
MEX06	OV2295	target-only CNR reconstructed on cluster from verified source CNR	verified	/project/6090753/active/ovcan_human/wes/molecular_extension_2026-09-06/inputs/target_only_cnr/OV2295_P61.targetonly.cnr		15158909	d6c595a1ab01ea520565e35ff82269810ee6d89f47dcd010f19c005f1a1f5f91	manual CNVkit 0.9.10 (2025-11/12) + antitarget-row removal 2026-09-06	GRCh38 (GATK Homo_sapiens_assembly38)	P61	CNVkit 0.9.10	/project/6090753/active/ovcan_gq_analysis/cnvkit/OV2295_P61_new/OV2295_P61.cnr (sha256 e0fdda8e7d74...)	source CNR == repo source_cnr_sha256: True; reconstructed == repo target_only_cnr_sha256: True; 204706 target rows, 40923 antitarget rows dropped; mtime_utc=2026-09-06T17:44Z
MEX06	OV2295	corrected target-only CNS (repository, script 29)	verified	repo:output/wes_cnv_target_only/OV2295.cns			4aa5f3ae4cff10ae57a7841a0ed5bc712edab79db80ed43b33ffb1a585dc4ec1		GRCh38 (GATK Homo_sapiens_assembly38)		CNVkit 0.9.10 segment CBS via script 29		present in clone at commit dca9bf9
MEX01	OV2295-R2	duplicate-marked genome-wide CRAM (MSI / read review input)	verified	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/markduplicates/OV2295_R2_P70/OV2295_R2_P70.md.cram		3536443767		sarek 3.5.1 angry_allen 2025-10-23 (Slurm 3273686)	GRCh38 (GATK Homo_sapiens_assembly38)	P70	GATK 4.5.0.0 MarkDuplicates; bwa 0.7.18; samtools 1.20/1.21	/project/6090753/active/ovcan_human/wes/sarek_3.5.1_run/task_evidence/oct23_GATK4_MARKDUPLICATES_*	lane PU 5; RG SM OV2295_R2_P70_OV2295_R2_P70; all reads incl. off-target; not BQSR'd; index .crai present; mtime_utc=2025-10-29T15:20Z
MEX01	OV2295-R2	published recalibrated CRAM (interval-restricted; mixed Oct-24/Oct-31 re-executions)	verified	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/recalibrated/OV2295_R2_P70/OV2295_R2_P70.recal.cram		5229447850		sarek 3.5.1 Oct-24 or Oct-31 launch (see mtime)	GRCh38 (GATK Homo_sapiens_assembly38)	P70	GATK 4.5.0.0 ApplyBQSR per shard		reads overlapping the 405 calling shards only; samtools quickcheck OK 2026-09-05; VCF headers name this filename but bytes are re-executions; mtime_utc=2025-10-31T17:57Z
MEX01	OV2295-R2	Oct-24 recalibrated CRAM in work/ = exact manual-CNVkit input (proposed MEX05/MEX06 alignment)	verified	/project/6090753/active/ovcan_gq_analysis/work/11/21e6f0bc535b4beff8de3148e324b5/OV2295_R2_P70.recal.cram		5229440868		sarek 3.5.1 angry_kilby 2025-10-24 (Slurm 3377445)	GRCh38 (GATK Homo_sapiens_assembly38)	P70	GATK 4.5.0.0	/project/6090753/active/ovcan_human/wes/sarek_3.5.1_run/task_evidence/oct24_CNVKIT_BATCH_OV2295_R2_P70.*	interval-restricted like all recal CRAMs; index .crai alongside in work dir; mtime_utc=2025-10-24T22:58Z
MEX01	OV2295-R2	manual-CNVkit input BAM (samtools view of the Oct-24 recal CRAM)	verified	/project/6090753/active/ovcan_gq_analysis/work/2a/25a0a6a1570955ea5a4fb75b685db4/OV2295_R2_P70.recal.bam		8056562382		Oct-24 CNVKIT_BATCH task	GRCh38 (GATK Homo_sapiens_assembly38)	P70	samtools 1.21 (Sarek cnvkit container)		historical hint ../work/2a/25a0a6a1570955ea5a4fb75b685db4/OV2295_R2_P70.recal.bam resolves relative to /project/6090753/active/ovcan_gq_analysis/cnvkit; mtime_utc=2025-10-24T23:07Z
MEX01	OV2295-R2	provider GRCh37 BAM (Sarek samplesheet input; deposition candidate)	verified	/project/6090753/active/ovcan_gq/ammmasson_OvCAN_WES_bioinformatics_analysis_R004741/bam/OV2295(R2)_P70.bam		7201937242		McGill delivery	GRCh37 (McGill GenPipes)	P70			no provider checksum; header not read in this session (tool block); mtime_utc=2025-09-23T14:36Z
MEX01	OV2295-R2	retained annotated Mutect2 VCF (audited calls)	verified	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/annotation/mutect2/OV2295_R2_P70/OV2295_R2_P70.mutect2.filtered_VEP.ann.vcf.gz		5322469		sarek 3.5.1 angry_allen 2025-10-23 (Slurm 3273686)	GRCh38 (GATK Homo_sapiens_assembly38)	P70	Mutect2/FilterMutectCalls 4.5.0.0; VEP 113		--genotype-germline-sites false --genotype-pon-sites false --interval-padding 0: NOT eligible as unbiased SNP input (MEX05); mtime_utc=2025-10-24T03:47Z
MEX06	OV2295-R2	target-only CNR reconstructed on cluster from verified source CNR	verified	/project/6090753/active/ovcan_human/wes/molecular_extension_2026-09-06/inputs/target_only_cnr/OV2295_R2_P70.targetonly.cnr		15157070	521ae55d7531893410a882967d001587dc37376dd6b82d29409f1df17b1464e7	manual CNVkit 0.9.10 (2025-11/12) + antitarget-row removal 2026-09-06	GRCh38 (GATK Homo_sapiens_assembly38)	P70	CNVkit 0.9.10	/project/6090753/active/ovcan_gq_analysis/cnvkit/OV2295_R2_P70_new/OV2295_R2_P70.cnr (sha256 c030d116172c...)	source CNR == repo source_cnr_sha256: True; reconstructed == repo target_only_cnr_sha256: True; 204706 target rows, 40923 antitarget rows dropped; mtime_utc=2026-09-06T17:44Z
MEX06	OV2295-R2	corrected target-only CNS (repository, script 29)	verified	repo:output/wes_cnv_target_only/OV2295-R2.cns			064b83590cbe68544eeb6f6dbf992fb4341c49c6789eea8640e3ba36df666e40		GRCh38 (GATK Homo_sapiens_assembly38)		CNVkit 0.9.10 segment CBS via script 29		present in clone at commit dca9bf9
MEX01	OV3133-R	duplicate-marked genome-wide CRAM (MSI / read review input)	verified	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/markduplicates/OV3133_R_P71/OV3133_R_P71.md.cram		3574211695		sarek 3.5.1 angry_allen 2025-10-23 (Slurm 3273686)	GRCh38 (GATK Homo_sapiens_assembly38)	P71	GATK 4.5.0.0 MarkDuplicates; bwa 0.7.18; samtools 1.20/1.21	/project/6090753/active/ovcan_human/wes/sarek_3.5.1_run/task_evidence/oct23_GATK4_MARKDUPLICATES_*	lane PU 5; RG SM OV3133_R_P71_OV3133_R_P71; all reads incl. off-target; not BQSR'd; index .crai present; mtime_utc=2025-10-29T15:22Z
MEX01	OV3133-R	published recalibrated CRAM (interval-restricted; mixed Oct-24/Oct-31 re-executions)	verified	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/recalibrated/OV3133_R_P71/OV3133_R_P71.recal.cram		5359322389		sarek 3.5.1 Oct-24 or Oct-31 launch (see mtime)	GRCh38 (GATK Homo_sapiens_assembly38)	P71	GATK 4.5.0.0 ApplyBQSR per shard		reads overlapping the 405 calling shards only; samtools quickcheck OK 2026-09-05; VCF headers name this filename but bytes are re-executions; mtime_utc=2025-10-31T20:23Z
MEX01	OV3133-R	Oct-24 recalibrated CRAM in work/ = exact manual-CNVkit input (proposed MEX05/MEX06 alignment)	verified	/project/6090753/active/ovcan_gq_analysis/work/d0/27e0b1505913cf6edb13baa912602b/OV3133_R_P71.recal.cram		5359270529		sarek 3.5.1 angry_kilby 2025-10-24 (Slurm 3377445)	GRCh38 (GATK Homo_sapiens_assembly38)	P71	GATK 4.5.0.0	/project/6090753/active/ovcan_human/wes/sarek_3.5.1_run/task_evidence/oct24_CNVKIT_BATCH_OV3133_R_P71.*	interval-restricted like all recal CRAMs; index .crai alongside in work dir; mtime_utc=2025-10-24T22:59Z
MEX01	OV3133-R	manual-CNVkit input BAM (samtools view of the Oct-24 recal CRAM)	verified	/project/6090753/active/ovcan_gq_analysis/work/53/397412953e1df8497ab40f69c887f2/OV3133_R_P71.recal.bam		8209969808		Oct-24 CNVKIT_BATCH task	GRCh38 (GATK Homo_sapiens_assembly38)	P71	samtools 1.21 (Sarek cnvkit container)		historical hint ../work/53/397412953e1df8497ab40f69c887f2/OV3133_R_P71.recal.bam resolves relative to /project/6090753/active/ovcan_gq_analysis/cnvkit; mtime_utc=2025-10-24T23:05Z
MEX01	OV3133-R	provider GRCh37 BAM (Sarek samplesheet input; deposition candidate)	verified	/project/6090753/active/ovcan_gq/ammmasson_OvCAN_WES_bioinformatics_analysis_R004741/bam/OV3133(R)_P71.bam		7341067219		McGill delivery	GRCh37 (McGill GenPipes)	P71			no provider checksum; header not read in this session (tool block); mtime_utc=2025-09-23T14:36Z
MEX01	OV3133-R	retained annotated Mutect2 VCF (audited calls)	verified	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/annotation/mutect2/OV3133_R_P71/OV3133_R_P71.mutect2.filtered_VEP.ann.vcf.gz		4888532		sarek 3.5.1 angry_allen 2025-10-23 (Slurm 3273686)	GRCh38 (GATK Homo_sapiens_assembly38)	P71	Mutect2/FilterMutectCalls 4.5.0.0; VEP 113		--genotype-germline-sites false --genotype-pon-sites false --interval-padding 0: NOT eligible as unbiased SNP input (MEX05); mtime_utc=2025-10-24T03:47Z
MEX06	OV3133-R	target-only CNR reconstructed on cluster from verified source CNR	verified	/project/6090753/active/ovcan_human/wes/molecular_extension_2026-09-06/inputs/target_only_cnr/OV3133_R_P71.targetonly.cnr		15147172	e41397bf7351224afae092c6cab63449ebaf4ecacafe48e8b0830e2b017cc3b9	manual CNVkit 0.9.10 (2025-11/12) + antitarget-row removal 2026-09-06	GRCh38 (GATK Homo_sapiens_assembly38)	P71	CNVkit 0.9.10	/project/6090753/active/ovcan_gq_analysis/cnvkit/OV3133_R_P71_new/OV3133_R_P71.cnr (sha256 c35ecc0fc674...)	source CNR == repo source_cnr_sha256: True; reconstructed == repo target_only_cnr_sha256: True; 204706 target rows, 40923 antitarget rows dropped; mtime_utc=2026-09-06T17:44Z
MEX06	OV3133-R	corrected target-only CNS (repository, script 29)	verified	repo:output/wes_cnv_target_only/OV3133-R.cns			adee942b18ee2b1161f42b8ff11251110d65ce301f38b1c19dd94d86802920da		GRCh38 (GATK Homo_sapiens_assembly38)		CNVkit 0.9.10 segment CBS via script 29		present in clone at commit dca9bf9
MEX01	OV3133-R2	duplicate-marked genome-wide CRAM (MSI / read review input)	verified	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/markduplicates/OV3133_R2_P58/OV3133_R2_P58.md.cram		3806914789		sarek 3.5.1 angry_allen 2025-10-23 (Slurm 3273686)	GRCh38 (GATK Homo_sapiens_assembly38)	P58	GATK 4.5.0.0 MarkDuplicates; bwa 0.7.18; samtools 1.20/1.21	/project/6090753/active/ovcan_human/wes/sarek_3.5.1_run/task_evidence/oct23_GATK4_MARKDUPLICATES_*	lane PU 6; RG SM OV3133_R2_P58_OV3133_R2_P58; all reads incl. off-target; not BQSR'd; index .crai present; mtime_utc=2025-10-29T15:14Z
MEX01	OV3133-R2	published recalibrated CRAM (interval-restricted; mixed Oct-24/Oct-31 re-executions)	verified	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/recalibrated/OV3133_R2_P58/OV3133_R2_P58.recal.cram		5630217262		sarek 3.5.1 Oct-24 or Oct-31 launch (see mtime)	GRCh38 (GATK Homo_sapiens_assembly38)	P58	GATK 4.5.0.0 ApplyBQSR per shard		reads overlapping the 405 calling shards only; samtools quickcheck OK 2026-09-05; VCF headers name this filename but bytes are re-executions; mtime_utc=2025-10-31T17:59Z
MEX01	OV3133-R2	Oct-24 recalibrated CRAM in work/ = exact manual-CNVkit input (proposed MEX05/MEX06 alignment)	verified	/project/6090753/active/ovcan_gq_analysis/work/86/ff83a4365815ca3dae42c5278ab822/OV3133_R2_P58.recal.cram		5630247549		sarek 3.5.1 angry_kilby 2025-10-24 (Slurm 3377445)	GRCh38 (GATK Homo_sapiens_assembly38)	P58	GATK 4.5.0.0	/project/6090753/active/ovcan_human/wes/sarek_3.5.1_run/task_evidence/oct24_CNVKIT_BATCH_OV3133_R2_P58.*	interval-restricted like all recal CRAMs; index .crai alongside in work dir; mtime_utc=2025-10-24T22:58Z
MEX01	OV3133-R2	manual-CNVkit input BAM (samtools view of the Oct-24 recal CRAM)	verified	/project/6090753/active/ovcan_gq_analysis/work/5d/8af0742f66349abbb6ec65e3e6b075/OV3133_R2_P58.recal.bam		8602861990		Oct-24 CNVKIT_BATCH task	GRCh38 (GATK Homo_sapiens_assembly38)	P58	samtools 1.21 (Sarek cnvkit container)		historical hint ../work/5d/8af0742f66349abbb6ec65e3e6b075/OV3133_R2_P58.recal.bam resolves relative to /project/6090753/active/ovcan_gq_analysis/cnvkit; mtime_utc=2025-10-24T23:05Z
MEX01	OV3133-R2	provider GRCh37 BAM (Sarek samplesheet input; deposition candidate)	verified	/project/6090753/active/ovcan_gq/ammmasson_OvCAN_WES_bioinformatics_analysis_R004741/bam/OV3133(R2)_P58.bam		7811081450		McGill delivery	GRCh37 (McGill GenPipes)	P58			no provider checksum; header not read in this session (tool block); mtime_utc=2025-09-23T14:36Z
MEX01	OV3133-R2	retained annotated Mutect2 VCF (audited calls)	verified	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/annotation/mutect2/OV3133_R2_P58/OV3133_R2_P58.mutect2.filtered_VEP.ann.vcf.gz		5594324		sarek 3.5.1 angry_allen 2025-10-23 (Slurm 3273686)	GRCh38 (GATK Homo_sapiens_assembly38)	P58	Mutect2/FilterMutectCalls 4.5.0.0; VEP 113		--genotype-germline-sites false --genotype-pon-sites false --interval-padding 0: NOT eligible as unbiased SNP input (MEX05); mtime_utc=2025-10-24T03:47Z
MEX06	OV3133-R2	target-only CNR reconstructed on cluster from verified source CNR	verified	/project/6090753/active/ovcan_human/wes/molecular_extension_2026-09-06/inputs/target_only_cnr/OV3133_R2_P58.targetonly.cnr		15143730	adbc0a8152abccd69c09e237fb3ff48e431e5bc9120e383060bad71bfc2cda3b	manual CNVkit 0.9.10 (2025-11/12) + antitarget-row removal 2026-09-06	GRCh38 (GATK Homo_sapiens_assembly38)	P58	CNVkit 0.9.10	/project/6090753/active/ovcan_gq_analysis/cnvkit/OV3133_R2_P58_new/OV3133_R2_P58.cnr (sha256 8e5bb742f296...)	source CNR == repo source_cnr_sha256: True; reconstructed == repo target_only_cnr_sha256: True; 204706 target rows, 40923 antitarget rows dropped; mtime_utc=2026-09-06T17:44Z
MEX06	OV3133-R2	corrected target-only CNS (repository, script 29)	verified	repo:output/wes_cnv_target_only/OV3133-R2.cns			72e942126c92298c0f14733ec298305cae480dffb4bd0948273a28a6a4265d9e		GRCh38 (GATK Homo_sapiens_assembly38)		CNVkit 0.9.10 segment CBS via script 29		present in clone at commit dca9bf9
